# config	halfT	nFoils	deltaZ	z0	R_start	R_mid	R_end	S_over_sqrtB
config_bo000	0.02802	22	11.0724	6129.47	89.815	76.105	68.706	1.6500
config_bo001	0.15000	37	20.1152	5709.40	97.897	100.000	61.548	3.5700
config_bo002	0.13034	35	17.2681	5761.46	74.030	77.431	69.833	3.5800
config_bo003	0.13267	54	12.6090	5714.55	76.683	83.784	50.698	3.4000
config_bo004	0.09072	35	17.2790	5760.28	73.738	77.423	71.803	3.5200
config_bo005	0.12694	26	22.0029	5820.22	96.371	74.725	64.977	3.5800
config_bo006	0.12235	23	22.5823	5854.49	81.196	74.778	90.371	3.5000
config_bo007	0.12538	25	12.5980	5825.83	61.723	74.742	76.018	3.1000
config_bo008	0.12136	43	16.3289	5706.62	60.947	77.512	58.276	3.5500
config_bo009	0.11987	39	16.6516	5830.94	91.501	77.974	98.712	3.8200
config_bo010	0.12565	25	20.0374	5831.52	60.741	74.729	60.566	3.3100
config_bo012	0.11594	39	13.3127	5829.95	97.430	78.040	54.432	3.6400
config_bo013	0.13920	26	22.8899	5855.65	80.288	74.626	62.616	3.5600
config_bo014	0.08875	39	14.8769	5811.94	93.459	77.569	84.582	3.7600
config_bo015	0.10126	39	14.7151	5799.02	63.767	77.825	86.686	3.6600
config_bo016	0.10391	26	18.9983	5822.12	84.294	74.342	89.766	3.5100
config_bo017	0.09630	39	14.9857	5843.52	68.210	77.753	73.608	3.6700
config_bo018	0.12280	37	12.9005	5755.67	81.736	77.726	68.517	3.5000
config_bo019	0.08545	39	16.0125	5796.37	86.723	79.684	97.812	3.8200
config_bo020	0.10639	26	20.3563	5849.65	75.786	75.703	90.570	3.5500
config_bo021	0.10657	39	16.0012	5801.73	90.066	72.787	66.056	3.6800
config_bo022	0.05965	38	14.0161	5813.23	66.449	77.447	78.014	3.4000
config_bo023	0.14094	25	21.9189	5872.60	97.984	73.687	70.517	3.6000
config_bo024	0.15000	26	21.5717	5873.26	87.411	64.298	90.134	3.5600
config_bo025	0.08420	39	16.7075	5755.35	84.644	97.804	96.296	3.9000
config_bo026	0.07299	41	16.0724	5709.40	63.282	88.887	87.007	3.7600
config_bo027	0.06282	37	16.5528	5798.41	60.420	51.288	80.864	2.6300
config_bo028	0.13201	40	16.6039	5700.00	59.790	78.970	55.329	3.5100
config_bo029	0.11992	37	16.6380	5777.91	89.024	88.240	92.664	3.7600
config_bo030	0.15000	25	22.4379	5806.99	53.513	56.161	71.456	2.9500
config_bo031	0.13607	41	15.6442	5700.00	83.537	70.184	55.955	3.4600
config_bo032	0.15000	40	16.3156	5780.54	61.420	92.557	66.277	3.5900
config_bo033	0.03631	25	21.3300	5835.14	96.474	100.000	98.117	2.8000
config_bo034	0.15000	37	17.5402	5708.77	84.634	100.000	93.849	3.5300
config_bo035	0.15000	36	15.6322	5747.09	58.759	100.000	51.991	3.5500
config_bo036	0.02500	40	15.5640	5744.02	57.755	100.000	93.432	2.7800
config_bo037	0.15000	38	15.7579	5755.26	78.359	100.000	87.535	3.5600
config_bo038	0.15000	36	18.6191	5700.00	94.361	100.000	77.068	3.5500
config_bo039	0.03948	42	15.6455	5700.00	57.150	100.000	80.164	3.4300
