config	n_up	n_down	extra_rOut	extra_halfThickness	extra_rIn	sob	calo	alpha	obj
foilsX01R00_01	2	2	197.9008	0.339240	32.3896	2.81000	1.32802e-05	100000.000	1.48198
foilsX01R00_00	2	4	236.5736	0.350010	33.5074	2.50000	9.53513e-06	100000.000	1.54649
foilsX01R00_05	4	2	164.5058	0.519426	26.6019	2.31000	9.93137e-06	100000.000	1.31686
foilsX01R00_02	3	1	85.6168	0.650491	3.8946	2.61000	2.09492e-05	100000.000	0.51508
foilsX01R00_04	3	0	218.9718	0.723788	12.4330	1.88000	8.24418e-06	100000.000	1.05558
foilsX01R00_08	2	0	171.3202	0.223537	37.6953	2.80000	1.98568e-05	100000.000	0.81432
foilsX01R00_03	4	4	204.3974	0.088945	49.2386	2.62000	1.82011e-05	100000.000	0.79989
foilsX01R00_07	6	5	64.1178	0.174750	29.4175	3.32000	2.38292e-05	100000.000	0.93708
foilsX01R00_09	0	1	142.3586	0.916717	38.2814	2.87000	2.18967e-05	100000.000	0.68033
foilsX01R00_06	2	1	83.3816	0.582865	30.9072	2.78000	2.26602e-05	100000.000	0.51398
foilsX02R00_01	1	4	242.9368	0.394493	8.9264	2.70000	9.99527e-06	100000.000	1.70047
foilsX02R00_00	1	4	250.0000	0.894494	25.7670	1.83000	4.20517e-06	100000.000	1.40948
foilsX02R00_02	2	2	124.5162	0.467004	31.4991	3.00000	1.79838e-05	100000.000	1.20162
foilsX02R00_08	6	0	50.0000	0.859708	16.9300	2.37000	2.34288e-05	100000.000	0.02712
foilsX02R00_05	2	2	50.0000	0.050000	0.0000	3.39000	2.39062e-05	100000.000	0.99938
foilsX02R00_03	2	2	50.0000	0.380945	13.7487	3.23000	2.40935e-05	100000.000	0.82065
foilsX02R00_07	6	0	250.0000	0.852130	33.4275	1.06000	2.79919e-06	100000.000	0.78008
foilsX02R00_06	5	0	181.7234	0.962217	43.2276	1.34000	7.29460e-06	100000.000	0.61054
foilsX02R00_04	2	2	66.3944	0.896120	46.4337	2.21000	2.37726e-05	100000.000	-0.16726
foilsX02R01_04	5	6	250.0000	0.535517	0.0000	1.38000	2.10673e-06	100000.000	1.16933
foilsX02R01_02	0	4	198.4258	0.415945	0.0000	2.98000	1.39222e-05	100000.000	1.58778
foilsX02R01_00	0	3	222.8854	0.505224	0.0000	2.86000	1.23835e-05	100000.000	1.62165
foilsX02R01_06	3	4	226.9555	0.457753	0.0000	2.20000	6.32693e-06	100000.000	1.56731
foilsX02R01_03	0	4	250.0000	0.490181	0.0000	2.59000	1.11584e-05	100000.000	1.47416
foilsX02R01_07	0	4	218.5457	0.468957	16.4530	2.74000	1.15613e-05	100000.000	1.58387
foilsX02R01_05	0	3	222.2306	0.411047	0.0000	3.00000	1.38553e-05	100000.000	1.61447
foilsX02R01_09	0	6	250.0000	1.000000	0.0000	1.69000	4.89207e-06	100000.000	1.20079
foilsX02R01_08	0	6	250.0000	0.432141	0.0000	2.46000	8.61628e-06	100000.000	1.59837
foilsX02R01_01	0	6	250.0000	0.564989	0.0000	2.19000	7.14496e-06	100000.000	1.47550
foilsX02R02_00	6	1	250.0000	0.338153	0.2737	2.08000	7.53858e-06	100000.000	1.32614
foilsX02R02_01	4	0	250.0000	0.339312	0.0000	2.35000	1.14551e-05	100000.000	1.20449
foilsX02R02_02	6	5	213.1756	0.358754	0.0000	2.03000	4.99706e-06	100000.000	1.53029
foilsX02R02_04	6	6	250.0000	0.292321	0.0000	2.05000	4.67809e-06	100000.000	1.58219
foilsX02R02_03	4	6	228.7196	0.364629	0.0000	2.13000	5.21493e-06	100000.000	1.60851
foilsX02R02_06	3	0	250.0000	0.335250	0.0000	2.61000	1.34660e-05	100000.000	1.26340
foilsX02R02_07	4	6	234.4110	0.342390	0.0000	2.18000	5.16406e-06	100000.000	1.66359
foilsX02R02_05	6	0	232.4455	0.330642	0.0000	2.17000	8.43591e-06	100000.000	1.32641
foilsX02R02_09	0	6	191.0226	0.553659	0.0000	2.58000	1.10495e-05	100000.000	1.47505
foilsX02R02_08	6	6	219.9893	0.362046	14.6251	1.94000	4.05179e-06	100000.000	1.53482
foilsX03R00_02	0	6	250.0000	0.778236	50.0000	1.52000	7.23225e-06	100000.000	0.79678
foilsX03R00_01	0	6	232.4407	0.339793	0.0000	2.76000	1.13615e-05	100000.000	1.62385
foilsX03R00_03	0	6	228.6463	0.780573	50.0000	1.63000	7.94290e-06	100000.000	0.83571
foilsX03R00_04	0	6	250.0000	0.822165	50.0000	1.48000	6.94045e-06	100000.000	0.78595
foilsX03R00_07	0	6	239.8705	0.795265	50.0000	1.56000	7.72039e-06	100000.000	0.78796
foilsX03R00_05	0	6	247.9380	0.751954	50.0000	1.56000	7.09094e-06	100000.000	0.85091
foilsX03R00_08	0	6	238.6722	0.779254	19.9814	1.87000	6.45605e-06	100000.000	1.22439
foilsX03R00_09	0	6	250.0000	0.788542	0.0000	1.81000	5.20397e-06	100000.000	1.28960
foilsX03R01_02	0	2	250.0000	1.000000	13.8187	2.50000	1.08261e-05	100000.000	1.41739
foilsX03R01_05	0	2	250.0000	1.000000	0.0000	2.53000	1.10050e-05	100000.000	1.42950
foilsX03R01_07	2	5	250.0000	0.293688	2.2780	2.66000	8.63245e-06	100000.000	1.79675
foilsX03R01_03	2	6	250.0000	0.239122	0.0000	2.77000	9.83997e-06	100000.000	1.78600
