config	extra_rOut_up	extra_rOut_dn	extra_halfThickness_up	extra_halfThickness_dn	extra_f_up	extra_f_dn	sob	calo	alpha	obj
foilsZ01R00_02	50.0000	50.0000	0.111254	0.209895	0.0000	0.9500	3.43000	2.35337e-05	100000.000	1.07663
foilsZ01R00_01	50.0000	50.0000	0.050000	0.258157	0.0000	0.9500	3.41000	2.36236e-05	100000.000	1.04764
foilsZ01R00_00	50.0000	50.0000	0.139599	0.257323	0.0000	0.9500	3.43000	2.30965e-05	100000.000	1.12035
foilsZ01R01_01	50.0000	250.0000	0.459247	0.885756	0.9500	0.9500	1.69000	5.80501e-06	100000.000	1.10950
foilsZ01R01_02	50.0000	250.0000	0.500619	1.000000	0.9500	0.0000	1.57000	5.48520e-06	100000.000	1.02148
foilsZ01R01_00	50.0000	250.0000	0.430249	1.000000	0.2571	0.9263	1.58000	5.59838e-06	100000.000	1.02016
foilsZ01R02_01	250.0000	50.0000	0.050000	1.000000	0.9500	0.9500	3.09000	1.98973e-05	100000.000	1.10027
foilsZ01R02_02	250.0000	80.7888	0.101509	1.000000	0.0000	0.6724	2.75000	1.60923e-05	100000.000	1.14077
foilsZ01R02_00	250.0000	50.0000	0.202171	1.000000	0.2148	0.1123	2.53000	1.21327e-05	100000.000	1.31673
foilsZ01R03_01	202.6545	50.0000	0.400926	0.509678	0.4576	0.9500	2.12000	8.36864e-06	100000.000	1.28314
foilsZ01R03_00	175.2063	50.0000	0.374804	0.474475	0.0112	0.6598	2.37000	9.61182e-06	100000.000	1.40882
foilsZ01R03_02	192.1121	50.0000	0.365754	0.420153	0.9500	0.0000	2.30000	9.03755e-06	100000.000	1.39624
foilsZ01R04_01	50.0000	205.0086	0.476049	0.050000	0.0000	0.1606	3.12000	1.92303e-05	100000.000	1.19697
foilsZ01R04_00	50.0000	250.0000	0.516143	0.050000	0.6694	0.4450	3.02000	1.90176e-05	100000.000	1.11824
foilsZ01R04_02	50.0000	250.0000	0.450831	0.050000	0.0000	0.9500	3.10000	1.89844e-05	100000.000	1.20156
