config	dx	dy	halflength	angle	z0_derived	rin_derived	sob	calo	alpha	obj
graphsmoke001	1.9997	85.0253	377.6935	366.8257	4585.1935	88.0000	0.55767	3.84777e-07	100000.000	0.51920
graphsmoke002	0.3530	107.0167	36.6733	525.4341	4244.1733	110.0000	0.19470	1.14298e-07	100000.000	0.18327
graph001	2.3214	84.8880	45.5490	540.0000	4253.0490	87.0000	0.25040	1.25957e-07	100000.000	0.23781
graph002	0.8814	112.7302	43.6370	305.2730	4251.1370	115.0000	0.37528	1.12029e-07	100000.000	0.36408
graph003	0.3085	122.7454	148.5313	474.4740	4356.0313	125.0000	0.33753	2.34738e-07	100000.000	0.31406
graph004	1.2392	56.8647	70.6430	374.1402	4278.1430	59.0000	0.33733	1.37732e-07	100000.000	0.32356
graph005	1.9950	102.3083	89.0522	540.0000	4296.5522	105.0000	0.30743	1.80908e-07	100000.000	0.28934
graph007	0.9434	86.4781	167.3194	253.4500	4374.8194	89.0000	2.64000	4.94651e-06	100000.000	2.14535
graph006	4.8987	90.7893	173.0768	163.8928	4380.5768	93.0000	0.98200	2.23679e-06	100000.000	0.75832
graph008	0.5676	78.3725	171.2125	296.3625	4378.7125	81.0000	2.61000	3.65753e-06	100000.000	2.24425
graph009	5.0000	62.5899	170.5913	297.6947	4378.0913	65.0000	0.70400	7.01999e-07	100000.000	0.63380
graph010	0.0100	82.6073	162.0758	277.6416	4369.5758	85.0000	2.82000	4.00406e-06	100000.000	2.41959
graph011	0.5699	305.2423	193.8798	90.3160	4401.3798	308.0000	3.58000	1.38831e-05	100000.000	2.19169
graph012	0.5866	304.7708	198.9135	94.1684	4406.4135	307.0000	3.56000	1.38069e-05	100000.000	2.17931
graph016	1.0277	115.7870	28.7337	538.3100	4236.2337	118.0000	1.69000	4.23434e-06	100000.000	1.26657
graph015	0.4558	307.1035	184.9220	476.7269	4392.4220	310.0000	1.04000	0.00000e+00	100000.000	1.04000
graph013	0.6031	303.1768	187.5284	339.2821	4395.0284	306.0000	1.85000	1.35178e-06	100000.000	1.71482
graph017	0.5672	336.3104	197.1307	91.8113	4404.6307	339.0000	3.53000	1.30876e-05	100000.000	2.22124
graph020	0.0571	399.9142	213.4296	103.5758	4420.9296	402.0000	3.64000	1.11730e-05	100000.000	2.52270
helicalL01	0.0640	70.8890	253.8620	478.0750	4461.3620	73.0000	2.39000	1.93416e-06	100000.000	2.19658
helical050a	0.1050	109.6110	194.6840	459.5910	4402.1840	112.0000	3.21000	2.54349e-06	100000.000	2.95565
helicalL03	0.1910	109.9600	185.9780	539.0680	4393.4780	112.0000	2.98000	2.01328e-06	100000.000	2.77867
helicalL05	0.5070	116.8300	81.0180	539.9600	4288.5180	119.0000	2.40000	2.19483e-06	100000.000	2.18052
helicalL02	0.0100	108.6020	248.9610	471.8410	4456.4610	111.0000	3.33000	2.46410e-06	100000.000	3.08359
helicalL04	0.4310	116.5860	155.6220	539.0900	4363.1220	119.0000	2.91000	2.33905e-06	100000.000	2.67610
helicalH1	4.2770	364.2730	480.0550	60.4560	4687.5550	367.0000	1.29000	1.12639e-05	100000.000	0.16361
graph022	0.7785	399.7929	174.8755	91.2237	4382.3755	402.0000	3.33000	1.27300e-05	100000.000	2.05700
helical052a	0.2160	106.4190	25.7820	532.9570	4233.2820	109.0000	1.51000	1.23321e-06	100000.000	1.38668
graph024	0.4913	113.4512	114.5231	538.8507	4322.0231	116.0000	2.70000	2.38934e-06	100000.000	2.46107
graph023	0.0686	102.0355	259.5156	477.9010	4467.0156	105.0000	3.28000	3.07804e-06	100000.000	2.97220
helical037a	0.5000	109.5700	74.3900	536.9000	4281.8900	112.0000	2.41000	2.34907e-06	100000.000	2.17509
helical051a	0.2270	109.5410	132.4950	538.3580	4339.9950	112.0000	2.76000	1.70857e-06	100000.000	2.58914
helical041a	0.5690	109.9790	246.4710	538.7650	4453.9710	112.0000	3.13000	2.97370e-06	100000.000	2.83263
helicalH2	0.0680	220.8170	499.0230	167.7340	4706.5230	223.0000	2.82000	8.23271e-06	100000.000	1.99673
helical050a_n5000	0.1050	109.6110	194.6840	459.5910	4402.1840	112.0000	3.65000	1.09156e-05	100000.000	2.55844
helicalP05	0.9515	105.7508	27.7247	336.0621	4235.2247	108.0000	3.32000	9.79706e-06	100000.000	2.34029
helicalP04	1.1865	116.9418	27.3548	413.0930	4234.8548	119.0000	3.44000	1.11609e-05	100000.000	2.32391
helicalP02	0.9518	114.9561	119.3241	455.5051	4326.8241	117.0000	2.81000	7.91640e-06	100000.000	2.01836
helicalP01	0.0984	114.5877	166.5582	455.0797	4374.0582	117.0000	3.73000	1.23083e-05	100000.000	2.49917
helicalP03	1.2382	112.8705	45.7961	449.1055	4253.2961	115.0000	3.10000	9.03239e-06	100000.000	2.19676
